zx_code_fldname,zx_code_value,zx_code_value_up,zx_code_cmmt,zx_code_desc1,zx_code_desc2,zx_code_rmk,zx_code_char#1,zx_code_char#2,zx_code_num#1,zx_code_num#2
CoA_ChromaScan,PHW685,,MUNSELL N3.5,,DARK GREY PART A,,,,0,0
CoA_ChromaScan,PHW73X,,MUNSELL 10PB5/6,,VIOLET PART A,,,,0,0
CoA_ChromaScan,PHW79N,,CHROMASCAN III 71007,,SAFETY RED PART A,,,,0,0
CoA_ChromaScan,PHW846,,RAL7016,,RAL7016 ANTHRACITE GREY PART A,,,,0,0
CoA_ChromaScan,PHW897,,BS381C 633,,BLUE GREY PART A,,,,0,0
CoA_ChromaScan,PHW99X,,JP MUNSELL 2.5PB4.5/11,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHX01D,,MUNSELL 7.5GY8/6,,LIME GREEN PART A,,,,0,0
CoA_ChromaScan,PHX01G,,MUNSELL 5Y9/2,,VANILLA PART A,,,,0,0
CoA_ChromaScan,PHX07R,,MUNSELL 2.5Y8.5/3,,SAND PART A,,,,0,0
CoA_ChromaScan,PHX10V,,OSHA SAFETY BLUE,,ALCAN BLUE PART A,,,,0,0
CoA_ChromaScan,PHX11X,,PANTONE PROCESS BLUE C,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHX14Q,,PANTONE 300C,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHX17J,,MUNSELL 2.5PB4/10,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHX18Q,,MUNSELL 10B7/8,,SKY BLUE PART A,,,,0,0
CoA_ChromaScan,PHX21F,,PANTONE 072C,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHX22L,,MUNSELL 5PB3/10,,PEACOCK BLUE PART A,,,,0,0
CoA_ChromaScan,PHX27B,,PANTONE 286C,,ROYAL BLUE PART A,,,,0,0
CoA_ChromaScan,PHX28Y,,CARBOLINE C705,,LIGHT GREY PART A,,,,0,0
CoA_ChromaScan,PHX29E,,PANTONE 300U,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHX29V,,IP X29V,,CELEBRITY DARK BLUE PART A,,,,0,0
CoA_ChromaScan,PHX32W,,FEDERAL 13711,,BUFF PART A,,,,0,0
CoA_ChromaScan,PHX34Z,,CHROMASCAN III 71038,,SAFETY YELLOW PART A,,,,0,0
CoA_ChromaScan,PHX35A,,PANTONE YELLOW C,,YELLOW PART A,,,,0,0
CoA_ChromaScan,PHX40V,,MUNSELL 2.5G5/10,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHX41C,,BS381C 320,,LIGHT BROWN PART A,,,,0,0
CoA_ChromaScan,PHX45B,,MUNSELL 7.5YR5/6,,BROWN PART A,,,,0,0
CoA_ChromaScan,PHX48L,,INDIAN (IS 5) 410,,LIGHT BROWN PART A,,,,0,0
CoA_ChromaScan,PHX49A,,MUNSELL 2.5PB7/6,,LIGHT BLUE PART A,,,,0,0
CoA_ChromaScan,PHX51Z,,MUNSELL 7.5R4/16,,RED PART A,,,,0,0
CoA_ChromaScan,PHX54U,,FEDERAL 11120,,RED PART A,,,,0,0
CoA_ChromaScan,PHX58F,,RAL2000,,RAL2000 YELLOW ORANGE PART A,,,,0,0
CoA_ChromaScan,PHX59F,,RAL3000,,RAL3000 FLAME RED PART A,,,,0,0
CoA_ChromaScan,PHX61M,,FEDERAL 16440,,AUTUMN GREY PART A,,,,0,0
CoA_ChromaScan,PHX61W,,FEDERAL 16492,,AUTUMN GREY PART A,,,,0,0
CoA_ChromaScan,PHX64A,,ANSI 61,,GREY PART A,,,,0,0
CoA_ChromaScan,PHX65H,,RAL7046,,RAL7046 TELEGREY PART A,,,,0,0
CoA_ChromaScan,PHX67A,,BS5252 00A07,,GREY PART A,,,,0,0
CoA_ChromaScan,PHX67H,,RAL7047,,RAL7047 TELEGREY PART A,,,,0,0
CoA_ChromaScan,PHX67N,,IP X67N,,LIGHT SEA GREY PART A,,,,0,0
CoA_ChromaScan,PHX67R,,MUNSELL 5G8.5/0.5,,LIGHT BLUE PART A,,,,0,0
CoA_ChromaScan,PHX69D,,MUNSELL 5PB6/1,,GREY PART A,,,,0,0
CoA_ChromaScan,PHX69T,,MUNSELL 10Y8/1,,CHAPEL GREY PART A,,,,0,0
CoA_ChromaScan,PHX69W,,MUNSELL 10Y8.5/1,,GREY WHITE PART A,,,,0,0
CoA_ChromaScan,PHX77R,,FEDERAL 16076,,DARK GREY PART A,,,,0,0
CoA_ChromaScan,PHX78K,,MUNSELL 5PB7/6,,LIGHT BLUE PART A,,,,0,0
CoA_ChromaScan,PHX83B,,7.5GY4.5/8,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHX85Z,,MUNSELL 10BG3/4,,DEEP TURQUOISE PART A,,,,0,0
CoA_ChromaScan,PHX87F,,MUNSELL 2.5G6/2,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHX89Y,,PANTONE 354C,,BRIGHT GREEN PART A,,,,0,0
CoA_ChromaScan,PHX93L,,MUNSELL 5BG9/2,,PEPPERMINT PART A,,,,0,0
CoA_ChromaScan,PHX94X,,RAL1037,,RAL1037 SUN YELLOW PART A,,,,0,0
CoA_ChromaScan,PHX95E,,MUNSELL 2.5GY4/6,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHX97B,,MUNSELL 10GY6.5/3,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHX97K,,MUNSELL 7.5GY6/2,,DUSKY GREEN PART A,,,,0,0
CoA_ChromaScan,PHX97M,,FEDERAL 14062,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHXB13,,AS2700 B13,,NAVY BLUE PART A,,,,0,0
CoA_ChromaScan,PHXB44,,AS2700 B44,,LIGHT GREY BLUE PART A,,,,0,0
CoA_ChromaScan,PHXG13,,AS2700 G13,,EMERALD PART A,,,,0,0
CoA_ChromaScan,PHXG65,,AS2700 G65,,TI-TREE PART A,,,,0,0
CoA_ChromaScan,PHXN32,,AS2700 N32,,GREEN GREY PART A,,,,0,0
CoA_ChromaScan,PHXN33,,AS2700 N33,,LIGHTBOX GREY PART A,,,,0,0
CoA_ChromaScan,PHXN35,,AS2700 N35,,LIGHT GREY PART A,,,,0,0
CoA_ChromaScan,PHXN42,,AS2700 N42,,STORM GREY PART A,,,,0,0
CoA_ChromaScan,PHXN61,,AS2700 N61,,BLACK PART A,,,,0,0
CoA_ChromaScan,PHXX42,,AS2700 X42,,BISCUIT PART A,,,,0,0
CoA_ChromaScan,PHXX55,,AS2700 X55,,NUT BROWN PART A,,,,0,0
CoA_ChromaScan,PHXY44,,AS2700 Y44,,SAND PART A,,,,0,0
CoA_ChromaScan,PHXY55,,AS2700 Y55,,DEEP STONE PART A,,,,0,0
CoA_ChromaScan,PHY04C,,NCS S1000N,,LIGHT GREY PART A,,,,0,0
CoA_ChromaScan,PHY05D,,MUNSELL N9.5,,WHITE PART A,,,,0,0
CoA_ChromaScan,PHY09M,,FEDERAL 24158,,HORIZON GREY PART A,,,,0,0
CoA_ChromaScan,PHY09R,,MUNSELL 5R4/13,,RED PART A,,,,0,0
CoA_ChromaScan,PHY10L,,INDIAN (IS 5) 631,,LIGHT GREY PART A,,,,0,0
CoA_ChromaScan,PHY10N,,INDIAN (IS 5) 217,,SEA GREEN PART A,,,,0,0
CoA_ChromaScan,PHY10P,,INDIAN (IS 5) 101,,SKY BLUE PART A,,,,0,0
CoA_ChromaScan,PHY10R,,INDIAN (IS 5) 536,,FIRE RED PART A,,,,0,0
CoA_ChromaScan,PHY11M,,MUNSELL 7.5B7/8,,LIGHT BLUE PART A,,,,0,0
CoA_ChromaScan,PHY13T,,KNS D-39484,,YELLOW GREEN PART A,,,,0,0
CoA_ChromaScan,PHY14C,,NCS S3065R90B,,DEEP BLUE PART A,,,,0,0
CoA_ChromaScan,PHY14R,,KNS D-50590,,GREY PART A,,,,0,0
CoA_ChromaScan,PHY154,,RAL8019,,RAL8019 GREY BROWN PART A,,,,0,0
CoA_ChromaScan,PHY16H,,NCS S4020B,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHY17D,,NCS S0530R80B,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHY17N,,MUNSELL 10R5/14,,ORANGE PART A,,,,0,0
CoA_ChromaScan,PHY21E,,NCS S6030R80B,,DARK BLUE PART A,,,,0,0
CoA_ChromaScan,PHY23J,,MUNSELL 2.5BG7/2,,BLUE GREEN PART A,,,,0,0
CoA_ChromaScan,PHY24B,,MUNSELL 2.5PB5/8.5,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHY26E,,NCS S3560R80B,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHY26T,,SIGMA 3149,,ORANGE PART A,,,,0,0
CoA_ChromaScan,PHY299,,RAL8022,,RAL8022 BLACK BROWN PART A,,,,0,0
CoA_ChromaScan,PHY29N,,CARBOLINE 6666,,YELLOW PART A,,,,0,0
CoA_ChromaScan,PHY33X,,MUNSELL 7.5GY8/2,,GREEN GREY PART A,,,,0,0
CoA_ChromaScan,PHY34W,,MUNSELL 5B7/4,,LIGHT BLUE PART A,,,,0,0
CoA_ChromaScan,PHY41Y,,MUNSELL 5BG5/2,,BLUE GREY PART A,,,,0,0
CoA_ChromaScan,PHY46H,,MUNSELL 10YR7/6,,BEIGE PART A,,,,0,0
CoA_ChromaScan,PHY47B,,NCS S5010Y50R,,LIGHT BROWN PART A,,,,0,0
CoA_ChromaScan,PHY47G,,NCS S4010Y30R,,BRUN PART A,,,,0,0
CoA_ChromaScan,PHY55W,,NCS S2020R80B,,GREY BLUE PART A,,,,0,0
CoA_ChromaScan,PHY56H,,PANTONE WARM GREY 2C,,WARM GREY PART A,,,,0,0
CoA_ChromaScan,PHY63M,,INDIAN (IS 5) 356,,GOLDEN YELLOW PART A,,,,0,0
CoA_ChromaScan,PHY65B,,PANTONE 423C,,GREY PART A,,,,0,0
CoA_ChromaScan,PHY68H,,MUNSELL 10B3.8/1,,GREY PART A,,,,0,0
CoA_ChromaScan,PHY70J,,MUNSELL 7.5B4/4,,BLUE PART A,,,,0,0
CoA_ChromaScan,PHY71K,,IP Y71K,,ORANGE PART A,,,,0,0
CoA_ChromaScan,PHY71L,,MUNSELL 10GY6/4,,GREEN PART A,,,,0,0
CoA_ChromaScan,PHY81K,,MUNSELL 7 5GY5/4,,GREEN PART A,,,,0,0
